연료별 국가 고유 발열량(에너지법 시행규칙 별표),,,,,,,,,,,,,,,,,,,,,,
연료명,연료 단위,단위,,총발열량,순발열량,"이산화탄소 배출계수
(kgCO₂/TJ)",메탄 배출계수(kgCH₄/TJ),,,,,,,아산화질소 배출계수(kgN₂O/TJ),,,,,,,,단위
,,에너지법 시행규칙 상,TJ로 환산시,,,,에너지산업,제조업,건설업,상업,공공,가정,기타,에너지산업,제조업,건설업,상업,공공,가정,기타,,
도시가스(LNG),N㎥,MJ/N㎥,"TJ/1,000,000N㎥",43.1,38.9,"56,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,N㎥
LPG,N㎥,MJ/N㎥,"TJ/1,000,000N㎥",50.4,46.3,"63,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,L
경유,L,MJ/L,"TJ/1,000㎥",37.8,35.2,"74,100",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,kg
휘발유,L,MJ/L,"TJ/1,000㎥",32.7,30.4,"69,300",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
등유,L,MJ/L,"TJ/1,000㎥",36.7,34.2,"71,900",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
B-C유,L,MJ/L,"TJ/1,000㎥",41.7,39.2,"77,400",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
B-A유,L,MJ/L,"TJ/1,000㎥",39,36.4,"75,100",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
B-B유,L,MJ/L,"TJ/1,000㎥",40.5,38,"76,400",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
천연가스(LNG),kg,MJ/kg,TJ/Gg,54.7,49.4,"56,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
프로판(LPG1호),kg,MJ/kg,TJ/Gg,50.4,46.3,"63,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
부탄(LPG3호),kg,MJ/kg,TJ/Gg,49.5,45.7,"63,100",1,1,1,5,5,5,5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,
국내무연탄,kg,MJ/kg,TJ/Gg,19.8,19.4,"98,300",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
연료용 수입무연탄,kg,MJ/kg,TJ/Gg,21.2,20.5,"98,300",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
원료용 수입무연탄,kg,MJ/kg,TJ/Gg,25.2,24.7,"98,300",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
연료용 유연탄(역청탄),kg,MJ/kg,TJ/Gg,24.8,23.7,"94,600",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
원료용 유연탄(역청탄),kg,MJ/kg,TJ/Gg,29.2,28,"94,600",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
아역청탄,kg,MJ/kg,TJ/Gg,21.4,19.9,"96,100",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
코크스,kg,MJ/kg,TJ/Gg,29,28.9,"107,000",1,10,10,10,10,300,300,1.5,1.5,1.5,1.5,1.5,1.5,1.5,,
나프타,L,MJ/L,"TJ/1,000㎥",32.3,29.9,"73,300",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
용제,L,MJ/L,"TJ/1,000㎥",32.8,30.3,"73,300",3,3,3,10,10,10,10,0.6,0.6,0.6,0.6,0.6,0.6,0.6,,
